ds,y
2017-05-01,4.220830359494875
2017-06-01,4.212127597878484
2017-07-01,4.19010918420648
2017-08-01,4.176436450940573
2017-09-01,4.1883913179796535
2017-10-01,4.226444375069549
2017-11-01,4.244487220651821
2017-12-01,4.244295961207802
2018-01-01,4.240511072272181
2018-02-01,4.259105421161374
2018-03-01,4.270116942120293
2018-04-01,4.28748699126346
2018-05-01,4.294697025235496
2018-06-01,4.3247946887187485
2018-07-01,4.332792622018282
2018-08-01,4.340118981595141
2018-09-01,4.341812094504757
2018-10-01,4.3766790283472865
2018-11-01,4.389498649512583
2018-12-01,4.36373536470163
2019-01-01,4.297602816156386
2019-02-01,4.258539863600819
2019-03-01,4.255139784768027
2019-04-01,4.274858931480352
2019-05-01,4.284964921830751
2019-06-01,4.284092181140092
2019-07-01,4.272909070138343
2019-08-01,4.271374364570287
2019-09-01,4.272072250005828
2019-10-01,4.291281021367136
2019-11-01,4.291554731509806
2019-12-01,4.305775341606993
2020-01-01,4.308155813884731
2020-02-01,4.3096351372521235
2020-03-01,4.2941967409726445
2020-04-01,4.2686246133445245
2020-05-01,4.251680639470269
2020-06-01,4.250588288194496
2020-07-01,4.300816579248338
2020-08-01,4.348642190654298
2020-09-01,4.394202210604015
2020-10-01,4.396792086874355
2020-11-01,4.399375273008494
2020-12-01,4.400439407681007
2021-01-01,4.411221292953157
2021-02-01,4.4322047241181615
2021-03-01,4.4665975361241514
2021-04-01,4.492486625876407
2021-05-01,4.507667604626853
2021-06-01,4.519793835250616
2021-07-01,4.549305053146696
2021-08-01,4.588837531367194
2021-09-01,4.611781615575745
2021-10-01,4.621928969803046
2021-11-01,4.647335278148771
2021-12-01,4.628202885098664
2022-01-01,4.606868742623673
2022-02-01,4.558183394763755
2022-03-01,4.558183394763755
2022-04-01,4.580296723712068
2022-05-01,4.613898648551931
2022-06-01,4.594580984433823
2022-07-01,4.577284982498556
2022-08-01,4.547046600637583
2022-09-01,4.571820206306537
2022-10-01,4.571820206306537
2022-11-01,4.571820206306537
2022-12-01,4.571820206306537
